Product Name,Price,Rating,Number of Reviews,Prime,Availability,Description
"Electric Rivet Gun, Cordless Rivet Gun with 2 Pack Batteries and Fast Charger, Brushless Motor Rivet Gun Tool, Led Light, Automatic Power Rivet Gun Kit for 3 Size (1/8"", 5/32"", 3/16"") Rivets",54.,N/A,N/A,No,Available,N/A
"Cordless Impact Wrench 3/4 inch compatible with Dewalt 20V Battery, Cerycose1850ft-lbs (2500N.m) Brushless Electric Impact Gun, High Torque Impact Driver, Bare Tool Only, Heavy-Duty Automotive",143.,N/A,N/A,No,"Cordless Impact Wrench 3/4 inch compatible with Dewalt 20V Battery, Cerycose1850ft-lbs (2500N.m) Brushless Electric Impact Gun, High Torque Impact Driver, Bare Tool Only, Heavy-Duty Automotive",N/A
"Cordless Impact Wrench, 900Ft-lbs (1200N.m) 1/2"" Brushless Impact Gun with 2x 4.0Ah Battery, Fast Charger & 6 Sockets, High Torque Power Impact Driver Ideal for Car, DIY, and Truck RV/Mower (1200N.m)",84.,N/A,N/A,No,Available,N/A
"Electric Pile Driver Hammer 2200W Electric T Post Driver, 110V Handheld Pile Driver, 2100 BPM Sufficient Power, Ideal for Fence Post Construction Site, Farm Fences, Forestry Seedlings",329.,N/A,N/A,No,Available,N/A
"DEWALT 20V MAX Cordless Drill and Impact Driver, Power Tool Combo Kit , Includes 2 Batteries, Charger and Bag (DCK240C2)",149.,N/A,N/A,No,Available,"Ergonomically Designed: Work in tight areas with a compact design that gets into tough spots; ergonomic handle delivers comfort and control, minimizing fatigue during extended use and maximizing precision in challenging environments | Compact and Lightweight: Both tools are designed to fit into difficult to reach spaces. The 1/4"" impact driver has a length of 5.55 in. and weighs just 2.8 lbs, while the 1/2"" drill/driver measures only 7.5 in. and weighs 3.6 lbs—providing optimal balance, portabil"
"Tool Set - 8V Cordless Drill Set, 132 Piece Home Tool Set With Hand Drill, Tool Kit for Women & Men, Perfect for Homeowner, Diyer, Handyman",49.,N/A,N/A,No,Available,"【Red Cordless Drill Set for Women】 This 8V tool kit for women is versatile for wood and plastic drilling as well as screw tightening and loosening. With variable speed control via the trigger, it reaches up to 800 RPM no-load speed. The built-in LED light enhances visibility, and at a lightweight 1.65 pounds, it’s easy to operate single-handedly | 【Drill Tool Set with 10-Piece Drill Bit Set】Get the job done right with our premium drill tool set for women, featuring 10 high-quality drill bits to "
Milwaukee Electric - M18TRADE Compact BRUSHLESS 2-Tool Combo KIT,193.,N/A,N/A,No,Only 1 left in stock - order soon.,The Milwaukee 3692-22CT M18 Compact Brushless 2-Tool Combo Kit includes: | 3601-20 M18 Compact Brushless 1/2″ Drill/ Driver | 3650-20 M18 Compact Brushless 1/4″ Hex Impact Driver | Two of 48-11-1820 M18 REDLITHIUM CP2.0 Batteries | 48-59-1812 M18 & M12 Multi-Voltage Charger
"DEKOPRO Drill Set, Home Tool Set with 8V Pink Cordless Drill, Hand Tool Kit for Women, 126 pcs",59.,N/A,N/A,No,Available,"【Pink Cordless Drill with LED】The 8V Power Cordless Drill can be used for drilling in wood and plastic, and also for tightening/loosening screws.Press the switch to adjust the speed of the electric drill, and the maximum no-load speed of the mini drill is 800r/min. Equiped with built-in LED light, and the net weight of the hand drill is only 1.65 pounds, and it is easy to operate with one hand. | 【Rechargeable Battery】This pink drill is supplied with a type-C 1.5A charging cable.You can connect "
"KingTool 276-Piece Tool Set Kit - Tool kit with 12V Cordless Power Drill Driver Toolbox Storage Case with Drawer, Drill Set Perfect for Homeowner, Diyer, Handyman",94.,N/A,N/A,No,Available,"Upgrade & Durable Toolbox: The Upgrade toolbox is a multi-functional solution that combines aesthetics and practicality. It features a storage compartment with a separate sliding drawer, offering greater capacity than standard toolboxes. This design allows for organized storage of various tool types, making it easier and quicker to find the tools you need | Fully Functional & Highly Practical: The 276 Pcs tool set meets Daily Work Needs, easily handling tasks such as furniture repairs, appliance"
"COMOWARE 20V Cordless Drill, Electric Power Drill Set with 1 Battery & Charger, 3/8” Keyless Chuck, 2 Variable Speed, 266 In-lb Torque, 25+1 Position and 34pcs Drill/Driver Bits",32.,N/A,N/A,No,Available,"【20 Voltage & 2 Variable Speeds】 Higher voltage means more torque-spinning strength to overcome resistance. This 2 variable-speed ( 0-350 & 0-1300 RPM ) cordless drill with an adjustable clutch gives you the versatility for drilling different materials and using a variety of bits. The low speed is for driving screws, the high speed is for drilling holes. | 【25+1 Position Clutch & 266 In-lbs Max Torque】 This cordless drill's clutch provides precise control for drilling, which helps to prevent sin"
