Description,Brand,Category,SKU,Item Number,Price,URL,Spec: Item,Spec: Urinal Product Type,Spec: Brand and Series,Spec: Urinal Mounting Style,Spec: Tank/Flush Valve Mfr. Model Number,Spec: Gallons per Flush,Spec: Flushing Method,Spec: Flush Valve Type Included,Spec: Flush Handle,Spec: Urinal Material,Spec: Color,Spec: Spud Location,Spec: Spud Connection Size,Spec: Includes Flush Valve Cover,Spec: ADA Compliance,Main_Category
12 in Low Carbon Steel Oversized Key Stock with Zinc Finish,GRAINGER APPROVED,Product Categories/Fasteners/Key Stock/Key Stock,5VA33,31163208,34.1,https://www.grainger.com/product/GRAINGER-APPROVED-Keystock-5VA33,Key Stock,,,,,,,,,,,,,,,Fasteners
"Fully Threaded Stud,  Steel,  Grade B7,  3/4""-10,  8 1/2 in Length,  PK 30",GRAINGER APPROVED,Product Categories/Fasteners/Threaded Rods and Studs/Fully Threaded Rods and Studs/Steel Fully Threaded Rods and Studs,5CLZ2,31161619,189.72,https://www.grainger.com/product/GRAINGER-APPROVED-Threaded-Stud-5CLZ2,Fully Threaded Stud,,,,,,,,,,,,,,,Fasteners
"Mandrel, Hardened Steel, 1/2-13",POP AVDEL,Product Categories/Fasteners/Thread Insert/Thread Insert Tools,2NJU2,23171704,56.46,https://www.grainger.com/product/POP-AVDEL-Mandrel-2NJU2,Mandrel,,,,,,,,,,,,,,,Fasteners
0.672 in 3 Wave Stainless Steel Wave Washer with Plain Finish; PK2500,GRAINGER APPROVED,Product Categories/Fasteners/Washers/Wave Washers,5CVH5,31161804,1601.4,https://www.grainger.com/product/GRAINGER-APPROVED-Wave-Washer-5CVH5,Wave Washer,,,,,,,,,,,,,,,Fasteners
"Working Gage, Steel, 10-24",HELI-COIL,Product Categories/Fasteners/Thread Insert/Thread Insert Tools,4CZF2,23171902,329.41,https://www.grainger.com/product/HELI-COIL-Working-Gage-4CZF2,Working Gage,,,,,,,,,,,,,,,Fasteners
"Fully Threaded Rod,  Vinyl Ester,  1/2""-13,  4 ft Length,  Gray",GRAINGER APPROVED,Product Categories/Fasteners/Threaded Rods and Studs/Fully Threaded Rods and Studs/Plastic Fully Threaded Rods and Studs,4AUU5,31161618,33.14,https://www.grainger.com/product/GRAINGER-APPROVED-Threaded-Rod-4AUU5,Fully Threaded Rod,,,,,,,,,,,,,,,Fasteners
"U Drive Screw, 3/8 In L, 1/4 In Dia, PK100",GRAINGER APPROVED,Product Categories/Fasteners/Screws/Thumb Screws,6YCX2,31161516,11.92,https://www.grainger.com/product/GRAINGER-APPROVED-U-Drive-Screw-6YCX2,U-Drive Screw,,,,,,,,,,,,,,,Fasteners
"Fully Threaded Rod,  Steel,  Grade A,  1-1/4""-7,  6 ft Length",GRAINGER APPROVED,Product Categories/Fasteners/Threaded Rods and Studs/Fully Threaded Rods and Studs/Steel Fully Threaded Rods and Studs,4FHA5,31161618,121.39,https://www.grainger.com/product/GRAINGER-APPROVED-Threaded-Rod-4FHA5,Fully Threaded Rod,,,,,,,,,,,,,,,Fasteners
"Standard Retaining Ring,  External,  15/16 in For Shaft Dia.,  — For Bore Dia.",GRAINGER APPROVED,Product Categories/Fasteners/Retaining Rings/Retaining Rings,5DA89,31163202,12.22,https://www.grainger.com/product/GRAINGER-APPROVED-Retain-Ring-5DA89,Standard Retaining Ring,,,,,,,,,,,,,,,Fasteners
"Fully Threaded Stud,  Steel,  Grade B7,  1-1/4""-8,  8 in Length,  PK 4",MAUDLIN PRODUCTS,Product Categories/Fasteners/Threaded Rods and Studs/Fully Threaded Rods and Studs/Steel Fully Threaded Rods and Studs,4KGC4,31161619,166.85,https://www.grainger.com/product/MAUDLIN-PRODUCTS-Threaded-Stud-4KGC4,Fully Threaded Stud,,,,,,,,,,,,,,,Fasteners
