Description,Brand,Category,SKU,Item Number,Price,URL,Spec: Item,Spec: Urinal Product Type,Spec: Brand and Series,Spec: Urinal Mounting Style,Spec: Tank/Flush Valve Mfr. Model Number,Spec: Gallons per Flush,Spec: Flushing Method,Spec: Flush Valve Type Included,Spec: Flush Handle,Spec: Urinal Material,Spec: Color,Spec: Spud Location,Spec: Spud Connection Size,Spec: Includes Flush Valve Cover,Spec: ADA Compliance,Main_Category
"Odor Removal Pleated Air Filter, 12x24x2",AIR HANDLER,Product Categories/HVAC and Refrigeration/Air Filters/Panel and Pleated Air Filters/Odor Removal Panel Air Filters,33E901,40161505,26.25,https://www.grainger.com/product/AIR-HANDLER-Odor-Removal-Pleated-Air-Filter-33E901,Odor Removal Pleated Air Filter,,,,,,,,,,,,,,,HVAC and Refrigeration
"Pilot Assembly, Natural Gas,  Fits Brand York,  For Use With Mfr. Model Number P1HBD20N10501A",YORK,Product Categories/HVAC and Refrigeration/HVAC & Refrigeration Replacement Parts/HVAC & Refrigeration Parts,208Z23,0,104.95,https://www.grainger.com/product/YORK-Pilot-Assembly-208Z23,"Pilot Assembly, Natural Gas",,,,,,,,,,,,,,,HVAC and Refrigeration
"V-Bank Air Filter, 24x24x12, MERV 13, Fiberglass, Number of Vs: 2",AIR HANDLER,Product Categories/HVAC and Refrigeration/Air Filters/Box Air Filters/V-Bank Air Filters,33E917,40161505,173.14,https://www.grainger.com/product/AIR-HANDLER-V-Bank-Air-Filter-33E917,V-Bank Air Filter,,,,,,,,,,,,,,,HVAC and Refrigeration
"Capacitor Cover,  Steel",GRAINGER APPROVED,Product Categories/HVAC and Refrigeration/Ventilation Equipment and Supplies/Industrial Blowers and Accessories/Blower Accessories/Belt Drive Blower Accessories,3PFZ8,39121521,9.86,https://www.grainger.com/product/GRAINGER-APPROVED-Capacitor-Cover-3PFZ8,Capacitor Cover,,,,,,,,,,,,,,,HVAC and Refrigeration
"General Use Pleated Air Filter, 15x25x1, MERV 10, High Capacity, Synthetic, Beverage Board",AIR HANDLER,Product Categories/HVAC and Refrigeration/Air Filters/Panel and Pleated Air Filters/Pleated Air Filters,4YUT8,40161505,11.44,https://www.grainger.com/product/AIR-HANDLER-Pleated-Air-Filter-4YUT8,Pleated Air Filter,,,,,,,,,,,,,,,HVAC and Refrigeration
"Piston, 0.063,  For Use With Grainger Item Number 38GM24,  Fits Brand Goodman",GOODMAN,Product Categories/HVAC and Refrigeration/HVAC & Refrigeration Replacement Parts/HVAC & Refrigeration Parts,42AL13,0,7.81,https://www.grainger.com/product/GOODMAN-Piston-42AL13,"Piston, 0.063",,,,,,,,,,,,,,,HVAC and Refrigeration
"Pressure Transducer, 1/4"" MBS3050, 4-20mA,  Fits Brand Multiple",DANFOSS,Product Categories/HVAC and Refrigeration/HVAC & Refrigeration Replacement Parts/HVAC & Refrigeration Parts,50PL09,0,787.08,https://www.grainger.com/product/DANFOSS-Pressure-Transducer-50PL09,"Pressure Transducer, 1/4"" MBS3050, 4-20mA",,,,,,,,,,,,,,,HVAC and Refrigeration
"Propeller,  24 in Propeller Dia. (In.),  3908/2736 CFM @ 0.000-In. SP,  Aluminum Blade Material",DAYTON,Product Categories/HVAC and Refrigeration/Fan Blades and Propellers/Aluminum Fan Blades,4C464,40101603,113.66,https://www.grainger.com/product/DAYTON-Blade-4C464,Propeller,,,,,,,,,,,,,,,HVAC and Refrigeration
"Capacitor Run, 40MFD, 370VAC,  For Use With Grainger Item Number 31XC83, 31XC92",HOSHIZAKI,Product Categories/HVAC and Refrigeration/HVAC & Refrigeration Replacement Parts/HVAC & Refrigeration Parts,50NY48,0,66.24,https://www.grainger.com/product/HOSHIZAKI-Capacitor-Run-50NY48,"Capacitor Run, 40MFD, 370VAC",,,,,,,,,,,,,,,HVAC and Refrigeration
"24 in 3-Phase Tubeaxial Fan with Motor and Drive Package, 208-230/460V, 1,312 Fan RPM",DAYTON,Product Categories/HVAC and Refrigeration/Ventilation Equipment and Supplies/Tubeaxial Fans and Accessories/Belt Drive Tubeaxial Fans,7J344,40101604,2779.28,https://www.grainger.com/product/DAYTON-Tubeaxial-Fan-w-Drive-Pkg-7J344,Tubeaxial Fan with Motor and Drive Package,,,,,,,,,,,,,,,HVAC and Refrigeration
