Description,Brand,Category,SKU,Item Number,Price,URL,Spec: Item,Spec: Urinal Product Type,Spec: Brand and Series,Spec: Urinal Mounting Style,Spec: Tank/Flush Valve Mfr. Model Number,Spec: Gallons per Flush,Spec: Flushing Method,Spec: Flush Valve Type Included,Spec: Flush Handle,Spec: Urinal Material,Spec: Color,Spec: Spud Location,Spec: Spud Connection Size,Spec: Includes Flush Valve Cover,Spec: ADA Compliance,Main_Category
"Countersink,  120 °,  1/2 in,  Cobalt,  TiN",KEO,"Product Categories/Machining/Drilling & Holemaking/Countersinks, Center Drills & Spotting Drills/Countersinks",3ZXT5,27112812,23.72,https://www.grainger.com/product/KEO-Countersink-3ZXT5,Countersink,,,,,,,,,,,,,,,Machining
"Headed Press-Fit Drill Bushing (H),  Standard Wall,  Headed,  Wire,  #60",GRAINGER APPROVED,Product Categories/Machining/Drilling & Holemaking/Drill Bushings/Headed Press-Fit Drill Bushings (H),11K850,31171603,47.42,https://www.grainger.com/product/GRAINGER-APPROVED-Drill-Bushing-11K850,Headed Press-Fit Drill Bushing (H),,,,,,,,,,,,,,,Machining
"Standard Keyseat Cutter,  Cobalt,  Straight,  1 1/8 in Cutter Dia.,  Right Hand",KEO,Product Categories/Machining/Milling/Milling Cutters/Keyseat Milling Cutters/Standard Keyseat Milling Cutters,33UY23,23171612,52.47,https://www.grainger.com/product/KEO-Keyseat-Cutter-33UY23,Standard Keyseat Cutter,,,,,,,,,,,,,,,Machining
"Drill Mill,  Carbide,  Bright (Uncoated),  3/4 in Milling Dia.,  90 °",MICRO 100,Product Categories/Machining/Milling/End Mills/Drill Mills,16T604,23172005,290.88,https://www.grainger.com/product/MICRO-100-Drill-Mill-16T604,Drill Mill,,,,,,,,,,,,,,,Machining
"High Speed Steel Jobber Drill Blank,  18.00mm,  Metric,  Bright (Uncoated),  6 in Overall Length",VERMONT GAGE,Product Categories/Machining/Drilling & Holemaking/Holemaking Blanks/Drill Bit Blanks,403R36,27112801,39.94,https://www.grainger.com/product/VERMONT-GAGE-Drill-Blank-403R36,Jobber Drill Blank,,,,,,,,,,,,,,,Machining
"High Speed Steel Plain Center Drill,  82 °,  #3",KEO,"Product Categories/Machining/Drilling & Holemaking/Countersinks, Center Drills & Spotting Drills/Center Drills",12J318,27112812,46.06,https://www.grainger.com/product/KEO-Center-Drill-12J318,Center Drill,,,,,,,,,,,,,,,Machining
"Slip-Fixed/Renewable Drill Bushing (SF),  Standard Wall,  Headed,  Fractional Inch,  1 3/16 in",GRAINGER APPROVED,Product Categories/Machining/Drilling & Holemaking/Drill Bushings/Slip-Fixed/Renewable Drill Bushings (SF),11H788,31171603,62.34,https://www.grainger.com/product/GRAINGER-APPROVED-Drill-Bushing-11H788,Slip-Fixed/Renewable Drill Bushing (SF),,,,,,,,,,,,,,,Machining
"Slip-Fixed/Renewable Drill Bushing (SF),  Standard Wall,  Headed,  Letter,  Q",GRAINGER APPROVED,Product Categories/Machining/Drilling & Holemaking/Drill Bushings/Slip-Fixed/Renewable Drill Bushings (SF),11E273,31171603,16.51,https://www.grainger.com/product/GRAINGER-APPROVED-Drill-Bushing-11E273,Slip-Fixed/Renewable Drill Bushing (SF),,,,,,,,,,,,,,,Machining
"Corner Chamfer End Mill,  5/16 in Milling Dia.,  Carbide,  Bright (Uncoated),  Non-Coolant Through",GRAINGER APPROVED,Product Categories/Machining/Milling/End Mills/Corner-Chamfer End Mills/High-Performance Roughing Carbide Corner-Chamfer End Mills,55HK53,23172005,40.88,https://www.grainger.com/product/MONSTER-Corner-Chamfer-End-Mill-55HK53,Corner Chamfer End Mill,,,,,,,,,,,,,,,Machining
"Press-Fit Drill Bushing (P),  Standard Wall,  Headless,  Wire,  #66",GRAINGER APPROVED,Product Categories/Machining/Drilling & Holemaking/Drill Bushings/Press-Fit Drill Bushings (P),11U711,31171603,47.42,https://www.grainger.com/product/GRAINGER-APPROVED-Drill-Bushing-11U711,Press-Fit Drill Bushing (P),,,,,,,,,,,,,,,Machining
"Standard Keyseat Cutter,  Cobalt,  Staggered,  1/4 in Cutter Dia.,  Right Hand",KEO,Product Categories/Machining/Milling/Milling Cutters/Keyseat Milling Cutters/Standard Keyseat Milling Cutters,2TFF4,23171612,47.16,https://www.grainger.com/product/KEO-Keyseat-Cutter-2TFF4,Standard Keyseat Cutter,,,,,,,,,,,,,,,Machining
"Chucking Reamer,  High Speed Steel,  Bright (Uncoated),  Straight,  Decimal Inch,  13/64 in",YANKEE,Product Categories/Machining/Drilling & Holemaking/Reamers/Chucking Reamers/High-Speed Steel Chucking Reamers with Straight Shank,20F202,23171610,54.15,https://www.grainger.com/product/YANKEE-Chucking-Reamer-20F202,Chucking Reamer,,,,,,,,,,,,,,,Machining
"Chucking Reamer,  High Speed Steel,  Bright (Uncoated),  Straight,  Letter,  E",YANKEE,Product Categories/Machining/Drilling & Holemaking/Reamers/Chucking Reamers/High-Speed Steel Chucking Reamers with Straight Shank,20H031,23171610,37.28,https://www.grainger.com/product/YANKEE-Chucking-Reamer-20H031,Chucking Reamer,,,,,,,,,,,,,,,Machining
"Press-Fit Drill Bushing (P),  Standard Wall,  Headless,  Metric,  3.60 mm",GRAINGER APPROVED,Product Categories/Machining/Drilling & Holemaking/Drill Bushings/Press-Fit Drill Bushings (P),11P296,31171603,9.0,https://www.grainger.com/product/GRAINGER-APPROVED-Drill-Bushing-11P296,Press-Fit Drill Bushing (P),,,,,,,,,,,,,,,Machining
