Description,Brand,Category,SKU,Item Number,Price,URL,Spec: Item,Spec: Urinal Product Type,Spec: Brand and Series,Spec: Urinal Mounting Style,Spec: Tank/Flush Valve Mfr. Model Number,Spec: Gallons per Flush,Spec: Flushing Method,Spec: Flush Valve Type Included,Spec: Flush Handle,Spec: Urinal Material,Spec: Color,Spec: Spud Location,Spec: Spud Connection Size,Spec: Includes Flush Valve Cover,Spec: ADA Compliance,Main_Category
"Antimicrobial Polyurethane Tread on Plastic Core Wheel,  4 in Wheel Dia.,  400 lb Load Rating",GRAINGER APPROVED,Product Categories/Material Handling/Transporting/Casters & Wheels/Wheels/Standard Wheels/Polyurethane Tread Standard Wheels,2LE91,31162701,21.94,https://www.grainger.com/product/GRAINGER-APPROVED-Antimicrob-PUR-Tread-Plastic-2LE91,Antimicrobial Polyurethane Tread on Plastic Core Wheel,,,,,,,,,,,,,,,Material Handling
"Fixed Height Work Table, 36 in Depth, 30 in Height, 48 in Width,1,400 lb Load Capacity",JAMCO,Product Categories/Material Handling/Storage & Workspace/Workbenches & Shop Furniture/Workbenches and Accessories/Pre-Configured Workbenches and Worktables/Work Tables,16C462,56111902,699.42,https://www.grainger.com/product/JAMCO-Mobile-Table-16C462,,,,,,,,,,,Gray,,,,,Material Handling
"NSF-Listed Sanitary Plate Caster,  Rigid,  Rubber,  120 lb,  3 in Wheel Dia.",SHEPHERD CASTER,Product Categories/Material Handling/Transporting/Casters & Wheels/Casters/Plate Casters/NSF-Listed Sanitary Plate Casters,60EY67,31162701,14.99,https://www.grainger.com/product/SHEPHERD-CASTER-Caster-60EY67,NSF-Listed Sanitary Plate Caster,,,,,,,,,,,,,,,Material Handling
"Standard Plate Caster,  Swivel,  Polyurethane,  450 lb,  5 in Wheel Dia.",GRAINGER APPROVED,Product Categories/Material Handling/Transporting/Casters & Wheels/Casters/Plate Casters/Standard Plate Casters,45XC28,31162701,84.24,https://www.grainger.com/product/GRAINGER-APPROVED-Standard-Plate-Caster-45XC28,Standard Plate Caster,,,,,,,,,,,,,,,Material Handling
"General Purpose Threaded Stem Caster,  4 in Wheel Dia.,  250 lb Load Rating",COLSON,Product Categories/Material Handling/Transporting/Casters & Wheels/Casters/Stem Casters/Threaded Stem Casters,56HE45,31162701,45.54,https://www.grainger.com/product/COLSON-Stem-Caster-56HE45,General Purpose Threaded Stem Caster,,,,,,,,,,,,,,,Material Handling
"Nylon Strip Brush,  96 in Brush Length,  3/16 in Backing Height,  Backing Number #4",TANIS,Product Categories/Material Handling/Transporting/Conveyors & Components/Conveyor Brushes/Strip Brushes & Mounting Holders,18A489,24101719,325.56,https://www.grainger.com/product/TANIS-Strip-Brush-18A489,Strip Brush,,,,,,,,,,,,,,,Material Handling
Metal Sleeve,DAYTON,Product Categories/Material Handling/Material Handling Replacement Parts/Material Handling Parts,26FG51,0,28.71,https://www.grainger.com/product/DAYTON-Metal-Sleeve-26FG51,Metal Sleeve,,,,,,,,,,,,,,,Material Handling
"Plate Caster with Pneumatic Wheels,  Rigid,  210 lb,  8 in Wheel Dia.",GRAINGER APPROVED,Product Categories/Material Handling/Transporting/Casters & Wheels/Casters/Plate Casters/Smooth-Ride Pneumatic & Flat-Free Plate Casters,455U49,31162701,59.29,https://www.grainger.com/product/GRAINGER-APPROVED-Plate-Cstr-w-Pneumatic-Whls-455U49,Plate Caster with Pneumatic Wheels,,,,,,,,,,,,,,,Material Handling
"Debris-Resistant Standard Plate Caster,  Rigid,  Nylon,  400 lb,  4 7/8 in Wheel Dia.",GRAINGER APPROVED,Product Categories/Material Handling/Transporting/Casters & Wheels/Casters/Plate Casters/Standard Plate Casters,21HK22,31162701,59.79,https://www.grainger.com/product/GRAINGER-APPROVED-Standard-Plate-Caster-21HK22,Debris-Resistant Standard Plate Caster,,,,,,,,,,,,,,,Material Handling
"Single-Wheel Grip-Neck Stem Caster,  3 in Wheel Dia.,  120 lb Load Rating",SHEPHERD CASTER,Product Categories/Material Handling/Transporting/Casters & Wheels/Casters/Stem Casters/Grip-Neck Stem Casters,60FA68,31162701,9.0,https://www.grainger.com/product/SHEPHERD-CASTER-Caster-60FA68,Single-Wheel Grip-Neck Stem Caster,,,,,,,,,,,,,,,Material Handling
Latch Kit,CM,Product Categories/Material Handling/Material Handling Replacement Parts/Material Handling Parts,3YDF9,31162412,27.49,https://www.grainger.com/product/CM-Latch-Kit-3YDF9,Latch Kit,,,,,,,,,,,,,,,Material Handling
"Therma Lvl Gauge, Tank  33"" D,  1.5"" MSPT",KRUEGER,Product Categories/Material Handling/Storage & Workspace/Drums and Drum Handling Equipment/Liquid Level Gauges,16N307,41111938,388.41,https://www.grainger.com/product/KRUEGER-Therma-Lvl-Gauge-16N307,Level Gauge,,,,,,,,,,,,,,,Material Handling
"NSF-Listed Sanitary Threaded Stem Caster,  3 in Wheel Dia.,  120 lb Load Rating",SHEPHERD CASTER,Product Categories/Material Handling/Transporting/Casters & Wheels/Casters/Stem Casters/Threaded Stem Casters,60FA96,31162701,18.28,https://www.grainger.com/product/SHEPHERD-CASTER-Caster-60FA96,NSF-Listed Sanitary Threaded Stem Caster,,,,,,,,,,,,,,,Material Handling
