Description,Brand,Category,SKU,Item Number,Price,URL,Spec: Item,Spec: Urinal Product Type,Spec: Brand and Series,Spec: Urinal Mounting Style,Spec: Tank/Flush Valve Mfr. Model Number,Spec: Gallons per Flush,Spec: Flushing Method,Spec: Flush Valve Type Included,Spec: Flush Handle,Spec: Urinal Material,Spec: Color,Spec: Spud Location,Spec: Spud Connection Size,Spec: Includes Flush Valve Cover,Spec: ADA Compliance,Main_Category
"Defender Straight Flex Jeans. Size: 38 in, Fits Waist Size: 38 in, Inseam: 36 in, DW Indigo",5.11 TACTICAL,Product Categories/Security/Police and EMT Uniforms/Police and EMT Pants,424W66,53102703,87.91,https://www.grainger.com/product/5-11-TACTICAL-Dfndr-Strght-Pant-Sz-38-424W66,Defender Straight Flex Jeans,,,,,,,,,,DW Indigo,,,,,Security
"Men's Urban Pants. Size: 40 in x 34 in, Fits Waist Size: 40 in, Inseam: 34 in, Battle Brown",5.11 TACTICAL,Product Categories/Security/Police and EMT Uniforms/Police and EMT Pants,52LA07,53102703,60.51,https://www.grainger.com/product/5-11-TACTICAL-Mens-Urban-Pants-52LA07,Men's Urban Pants,,,,,,,,,,Battle Brown,,,,,Security
"PDU A-CL Twill Pants. Size: 52 in, Fits Waist Size: 52 in, Inseam: Unhemmed, Midnight Navy",5.11 TACTICAL,Product Categories/Security/Police and EMT Uniforms/Police and EMT Pants,424H03,53102703,93.41,https://www.grainger.com/product/5-11-TACTICAL-PDU-ACL-Pants-424H03,PDU A-CL Twill Pants,,,,,,,,,,Midnight Navy,,,,,Security
"Tactical Shirt, Dark Navy, Size XL Long",PROPPER,Product Categories/Security/Police and EMT Uniforms/Police and EMT Shirts,12K208,46181526,53.89,https://www.grainger.com/product/PROPPER-Tactical-Shirt-12K208,Tactical Shirt Long Sleeve,,,,,,,,,,Dark Navy,,,,,Security
"Men's Tactical Pants. Size: 36 in x 30 in, Fits Waist Size: 36 in, Inseam: 30 in, Charcoal Gray",PROPPER,Product Categories/Security/Police and EMT Uniforms/Police and EMT Pants,56EK05,53102703,82.6,https://www.grainger.com/product/PROPPER-Men-Tactical-Pants-56EK05,Men's Tactical Pants,,,,,,,,,,Charcoal Gray,,,,,Security
"Charger, 120VAC, 1.5 hr. Charge Time",MOTOROLA,"Product Categories/Security/Two Way Radios and Police Scanners/Two Way Radio Accessories, Kits and Sets/Two Way Radio Chargers and Charging Kits",481T52,26111704,321.36,https://www.grainger.com/product/MOTOROLA-Charger-481T52,Charger,,,,,,,,,,,,,,,Security
"Women's Tactical Pants. Size: 10 in, Fits Waist Size: 10 in, Inseam: 30 in, Black",VERTX,Product Categories/Security/Police and EMT Uniforms/Police and EMT Pants,400Z60,46181527,112.02,https://www.grainger.com/product/VERTX-Womens-Tactical-Pants-400Z60,Women's Tactical Pants,,,,,,,,,,Black,,,,,Security
"Automatic Open/Close Gate, 1 or 2 Way",TURNSTILE,Product Categories/Security/Access Barriers and Crowd Control/Turnstiles,31HH31,46151507,9176.7,https://www.grainger.com/product/TURNSTILE-Automatic-Open-Close-Gate-31HH31,Automatic Open/Close Gate,,,,,,,,,,,,,,,Security
"Men's Tactical Pants. Size: 32 in, Fits Waist Size: 31 in to 33 in, Inseam: 34 in, Spruce Green",TRU-SPEC,Product Categories/Security/Police and EMT Uniforms/Police and EMT Pants,488J21,53102703,62.17,https://www.grainger.com/product/TRU-SPEC-Mens-Tactical-Pants-488J21,Men's Tactical Pants,,,,,,,,,,Spruce Green,,,,,Security
"Serpa Quick Disconnect, Female, Black",BLACKHAWK,Product Categories/Security/Security Management and Law Enforcement/Gun Holsters,14X444,46151504,25.98,https://www.grainger.com/product/BLACKHAWK-Serpa-Quick-Disconnect-14X444,Serpa Quick Disconnect,,,,,,,,,,Black,,,,,Security
"Ripstop TDU Pants. Size: L/18, Fits Waist Size: L/18, Inseam: Long, TDU Green",5.11 TACTICAL,Product Categories/Security/Police and EMT Uniforms/Police and EMT Pants,21W383,53102703,63.79,https://www.grainger.com/product/5-11-TACTICAL-Ripstop-TDU-Pants-21W383,Ripstop TDU Pants,,,,,,,,,,TDU Green,,,,,Security
