Description,Brand,Category,SKU,Item Number,Price,URL,Spec: Item,Spec: Urinal Product Type,Spec: Brand and Series,Spec: Urinal Mounting Style,Spec: Tank/Flush Valve Mfr. Model Number,Spec: Gallons per Flush,Spec: Flushing Method,Spec: Flush Valve Type Included,Spec: Flush Handle,Spec: Urinal Material,Spec: Color,Spec: Spud Location,Spec: Spud Connection Size,Spec: Includes Flush Valve Cover,Spec: ADA Compliance,Main_Category
"Precision Probe, Double Bend Short Point Type, 5 13/16 in Overall Length (In.), Magnet End: No",MOODY TOOL,Product Categories/Tools/Measuring & Layout Tools/Scribers & Probes,6KHL1,27112303,4.39,https://www.grainger.com/product/MOODY-TOOL-Precision-Probe-6KHL1,Precision Probe,,,,,,,,,,,,,,,Tools
Arm Assembly,BLACK & DECKER,Product Categories/Tools/Power Tools/Power Tool Replacement Parts,26EP18,0,269.76,https://www.grainger.com/product/BLACK-DECKER-Arm-Assembly-26EP18,Arm Assembly,,,,,,,,,,,,,,,Tools
"Magnetic Pick-Up Tool, 19 In. L, 2 lb.",ULLMAN,Product Categories/Tools/Hand Tools/Inspection & Retrieving Tools/Magnetic Pickups,19LZ14,27112109,8.57,https://www.grainger.com/product/ULLMAN-Magnetic-Pick-Up-Tool-19LZ14,Magnetic Pick-Up Tool,,,,,,,,,,,,,,,Tools
"Bearing Rotor Pulling System, 34 Pieces",KEN-TOOL,Product Categories/Tools/Hand Tools/Pryers & Pullers/Bearing Splitters,6ZAY8,25171718,920.47,https://www.grainger.com/product/KEN-TOOL-Bearing-Rotor-Pulling-System-6ZAY8,Bearing Rotor Pulling System,,,,,,,,,,,,,,,Tools
"Case,Gear",BLACK & DECKER,Product Categories/Tools/Power Tools/Power Tool Replacement Parts,26EX99,0,113.7,https://www.grainger.com/product/BLACK-DECKER-Case-26EX99,"Case,Gear",,,,,,,,,,,,,,,Tools
Capacitor,BLACK & DECKER,Product Categories/Tools/Power Tools/Power Tool Replacement Parts,26EM42,0,24.55,https://www.grainger.com/product/BLACK-DECKER-Capacitor-26EM42,Capacitor,,,,,,,,,,,,,,,Tools
"Circular Saw Blade,  Ferrous Metals Materials Cut,  5 3/8 in Blade Dia.,  25/32 in Arbor Size",BOSCH,Product Categories/Tools/Power Tools/Power Saws & Blades/Power Saw Blades/Circular Saw Blades,60KT14,27112802,60.33,https://www.grainger.com/product/BOSCH-Circular-Saw-Blade-60KT14,Circular Saw Blade,,,,,,,,,,,,,,,Tools
"Straight Edge, SS, 5-29/32"" L, Satin Chrome",INSIZE,Product Categories/Tools/Measuring & Layout Tools/Distance Measuring Tools/Rules & Straight Edges,409A11,27111807,57.25,https://www.grainger.com/product/INSIZE-Straight-Edge-409A11,Straight Edge,,,,,,,,,,,,,,,Tools
"Cylinder,  For Use With JSM-512F Die Grinder",JET,Product Categories/Tools/Power Tools/Power Tool Replacement Parts,38UZ14,0,38.76,https://www.grainger.com/product/JET-Cylinder-38UZ14,Cylinder,,,,,,,,,,,,,,,Tools
"Angle Grinders, Masonry Saws,  Diamond Saw Blade,  Masonry Materials Cut,  4 in Blade Dia.",DEWALT,Product Categories/Tools/Power Tools/Power Saws & Blades/Power Saw Blades/Diamond Saw Blades,423K24,27112802,36.53,https://www.grainger.com/product/DEWALT-Diamond-Saw-Blade-423K24,Diamond Saw Blade,,,,,,,,,,,,,,,Tools
Knob,BLACK & DECKER,Product Categories/Tools/Power Tools/Power Tool Replacement Parts,26EH94,0,5.11,https://www.grainger.com/product/BLACK-DECKER-Knob-26EH94,Knob,,,,,,,,,,,,,,,Tools
