Description,Brand,Category,SKU,Item Number,Price,URL,Spec: Item,Spec: Urinal Product Type,Spec: Brand and Series,Spec: Urinal Mounting Style,Spec: Tank/Flush Valve Mfr. Model Number,Spec: Gallons per Flush,Spec: Flushing Method,Spec: Flush Valve Type Included,Spec: Flush Handle,Spec: Urinal Material,Spec: Color,Spec: Spud Location,Spec: Spud Connection Size,Spec: Includes Flush Valve Cover,Spec: ADA Compliance,Main_Category
"Welding Gloves,  L,  1 PR",STEINER INDUSTRIES,Uncategorized,56LX59,46181504,22.12,https://www.grainger.com/product/STEINER-INDUSTRIES-Welding-Gloves-56LX59,Welding Gloves,,,,,,,,,,,,,,,Uncategorized
"Indexable Face Mill,  Max. Cutting Dia. 6.6330"",  Arbor Dia. 1.5750"",  Depth of Cut 0.1180""",WALTER,Uncategorized,56NA28,23171612,3426.91,https://www.grainger.com/product/WALTER-Close-Pitch-Face-Mill-56NA28,Indexable Face Mill,,,,,,,,,,,,,,,Uncategorized
"Indexable Turning and Profiling Tool Holder,  SSDC,  Overall Length 150.02mm",WALTER,Uncategorized,56PT22,23171619,164.8,https://www.grainger.com/product/WALTER-Shank-Tool-56PT22,Indexable Turning and Profiling Tool Holder,,,,,,,,,,,,,,,Uncategorized
Hydranal Water Standard 0.10,HONEYWELL BURDICK & JACKSON,Uncategorized,45ZK68,41116011,166.98,https://www.grainger.com/product/HONEYWELL-BURDICK-JACKSON-Hydranal-Water-Standard-0-45ZK68,Hydranal Water Standard 0.10,,,,,,,,,,,,,,,Uncategorized
"Motor,  1 HP,  Capacitor-Start,  Nameplate RPM 1,125,  No. of Speeds 1,  Voltage 208-230/460V AC",U.S. MOTORS,Uncategorized,56JD02,26101602,312.31,https://www.grainger.com/product/U-S-MOTORS-Motor-56JD02,Motor,,,,,,,,,,,,,,,Uncategorized
"Indexable Parting and Grooving Tool Holder,  Novex-Cut,  Insert Style GX,  Left Hand",WALTER,Uncategorized,56NK17,23171619,381.1,https://www.grainger.com/product/WALTER-Shank-Tool-56NK17,Indexable Parting and Grooving Tool Holder,,,,,,,,,,,,,,,Uncategorized
"Diamond Turning Insert,  PK 10",KYOCERA,Uncategorized,61NA74,23171618,12.35,https://www.grainger.com/product/KYOCERA-Diamond-Turning-Insert-61NA74,,,,,,,,,,,,,,,,Uncategorized
"Cutting Tool,  20.00 mm Milling Dia.,  Carbide,  AlTiN,  Non-Coolant Through",WIDIA HANITA,Uncategorized,785UJ2,0,446.6,https://www.grainger.com/product/WIDIA-HANITA-Cutting-Tool-785UJ2,Cutting Tool,,,,,,,,,,,,,,,Uncategorized
"Rope Grab,  Nylon",3M,Uncategorized,61DF91,0,346.77,https://www.grainger.com/product/3M-Rope-Grab-61DF91,Rope Grab,,,,,,,,,,Yellow,,,,,Uncategorized
Hand Sanitizer Bottle Bracket,RUBBERMAID COMMERCIAL PRODUCTS,Uncategorized,60KJ92,47131704,30.62,https://www.grainger.com/product/RUBBERMAID-COMMERCIAL-PRODUCTS-Hand-Sanitizer-Bottle-Bracket-60KJ92,,,,,,,,,,,,,,,,Uncategorized
Womens FR Jean,ARIAT,Uncategorized,61TA10,46181527,109.08,https://www.grainger.com/product/ARIAT-Womens-FR-Jean-61TA10,Womens FR Jean,,,,,,,,,,Blue,,,,,Uncategorized
FR Crew Longsleeve Tee,ARIAT,Uncategorized,61RH81,0,98.57,https://www.grainger.com/product/ARIAT-FR-Crew-Longsleeve-Tee-61RH81,FR Crew Longsleeve Tee,,,,,,,,,,Red,,,,,Uncategorized
"Square End Mill,  3.00 mm Milling Dia.,  Carbide,  Diamond,  Non-Coolant Through",YG-1 TOOL COMPANY,Uncategorized,60UE03,27112803,93.41,https://www.grainger.com/product/YG-1-TOOL-COMPANY-D-Power-End-Mill-60UE03,Square End Mill,,,,,,,,,,,,,,,Uncategorized
"Spare Parts Kit,  5 in Overall Length",FELCO,Uncategorized,36LH59,23171604,70.43,https://www.grainger.com/product/FELCO-Spare-Parts-Kit-36LH59,Spare Parts Kit,,,,,,,,,,,,,,,Uncategorized
"Shrink Fit Tool Holder and Adapter,  Hole Dia. 1"",  Taper Size CAT50",TECHNIKS,Uncategorized,60AM98,27112809,576.81,https://www.grainger.com/product/TECHNIKS-Shrink-Fit-Tool-Holder-and-60AM98,Shrink Fit Tool Holder and Adapter,,,,,,,,,,,,,,,Uncategorized
"Indexable Parting and Grooving Tool Holder,  Novex-Cut,  Insert Style SX,  Left Hand",WALTER,Uncategorized,56NM86,23171619,345.62,https://www.grainger.com/product/WALTER-Shank-Tool-56NM86,Indexable Parting and Grooving Tool Holder,,,,,,,,,,,,,,,Uncategorized
"Grooving Insert,  PK 10",KYOCERA,Uncategorized,61NN42,23171618,44.94,https://www.grainger.com/product/KYOCERA-Grooving-Insert-61NN42,,,,,,,,,,,,,,,,Uncategorized
DC160-03-06.600A1-WJ30ET,WALTER TITEX,Uncategorized,60GA32,27112801,136.61,https://www.grainger.com/product/WALTER-TITEX-DC160-03-06-600A1-WJ30ET-60GA32,,,,,,,,,,,,,,,,Uncategorized
Relaxed Fit FR Jeans,ARIAT,Uncategorized,61RR07,46181508,103.96,https://www.grainger.com/product/ARIAT-Relaxed-Fit-FR-Jeans-61RR07,Relaxed Fit FR Jeans,,,,,,,,,,Gray,,,,,Uncategorized
Twist Drill,CLEVELAND,Uncategorized,60GY77,27112801,17.6,https://www.grainger.com/product/CLEVELAND-Twist-Drill-60GY77,,,,,,,,,,,,,,,,Uncategorized
